Agua,QualidadeAgua,Energia,TotalCasaBanho,CasaBanhoFuncional,Longitude,Latitude,CondicoesMinimas
0,0,0,0,0,33.23836111111111,-19.212527777777776,0
0,0,0,0,0,35.200138888888894,-13.476166666666666,0
0,0,0,0,0,35.54036111111111,-13.435,0
0,0,0,0,0,35.79247222222222,-13.337916666666668,0
0,0,0,0,0,35.69026944444444,-13.315155555555556,0
0,0,0,0,0,35.25865,-13.589761111111113,0
0,0,0,0,0,35.13169444444444,-13.687666666666669,0
1,1,0,0,0,35.25277777777778,-13.548972222222222,1
0,0,0,0,0,34.983222222222224,-13.549722222222222,0
0,0,0,0,0,35.79247222222222,-13.337916666666668,0
0,0,0,0,0,35.69026944444444,-13.315155555555556,0
0,0,0,0,0,35.269333333333336,-13.71411111111111,0
0,0,0,0,0,35.625527777777776,-13.350861111111112,0
0,0,0,0,0,34.983222222222224,-13.549722222222222,0
0,0,0,0,0,35.42633333333333,-13.357083333333334,0
0,0,0,0,0,35.37383333333334,-13.350027777777775,0
0,0,0,0,0,35.45011111111111,-13.317972222222222,0
0,0,0,0,0,35.490944444444445,-13.24972222222222,0
0,0,0,0,0,35.510083333333334,-13.605277777777776,0
1,2,1,3,0,35.33211111111112,-13.419444444444444,1
0,0,0,0,0,35.38063888888889,-13.43625,0
0,0,0,0,0,35.42366666666666,-13.278777777777778,0
1,2,0,6,1,35.49180555555556,-12.994638888888888,1
0,0,0,2,1,35.43530555555555,-13.157388888888889,1
1,2,0,4,1,35.38063888888889,-13.43625,1
0,0,0,2,1,35.75813888888889,-12.988277777777776,1
0,0,0,4,1,35.86363888888889,-12.819388888888888,1
1,2,0,4,1,35.58861111111111,-13.187055555555556,1
1,2,0,4,1,35.81813888888889,-12.890694444444444,1
1,2,0,3,1,35.76027777777778,-12.894388888888887,1
1,2,0,2,1,35.75630555555556,-12.95261111111111,1
1,2,0,2,1,35.61663888888889,-13.086111111111112,1
1,2,0,0,0,35.5616666666667,-12.1469444444444,1
1,2,0,0,0,37.90761,-11.833889,1
1,2,0,0,0,37.65922,-12.60925,1
1,2,0,0,0,37.76483,-12.007556,1
1,2,0,0,0,37.67067,-12.127389,1
1,2,0,0,0,37.69167,-12.18575,1
1,2,0,0,0,37.66064,-12.274,1
1,2,0,0,0,37.68564,-12.668444,1
1,2,0,0,0,37.65533,-12.344722,1
0,0,0,0,0,37.67464,-12.139817,0
0,0,0,0,0,37.71158,-12.13925,0
0,0,0,0,0,37.70906,-12.422389,0
0,0,0,0,0,37.62831,-12.450611,0
0,0,0,0,0,36.93064,-11.606778,0
0,0,0,0,0,38.05758,-11.758306,0
0,0,0,0,0,38.30233,-11.339472,0
0,0,0,0,0,38.030664,-11.792611,0
0,0,0,0,0,37.01628,-12.074306,0
0,0,0,0,0,37.65403,-12.562319,0
0,0,0,0,0,37.66748,-12.230322,0
0,0,0,0,0,37.76902,-12.004403,0
0,0,0,0,0,34.876853,-12.1901,0
0,0,0,0,0,34.709556,-12.374442,0
0,0,0,0,0,35.063594,-11.945833,0
0,0,0,0,0,34.836308333333335,-12.080761,0
0,0,0,0,0,34.89899444444444,-12.01086,0
0,0,0,0,0,34.80759444444444,-12.700644,0
0,0,0,0,0,35.01744722222222,-12.778258,0
0,0,0,0,0,34.75801944444444,-12.552994444444446,0
0,0,0,0,0,34.703877777777784,-12.193622222222222,0
0,0,0,0,0,34.72654444444445,-12.262866666666667,0
0,0,0,0,0,34.96347222222222,-11.713277777777778,0
0,0,0,0,0,34.928552777777774,-11.876222222222223,0
0,0,0,0,0,34.951638888888894,-11.735638888888888,0
0,0,0,0,0,34.96644444444445,-11.576555555555556,0
0,0,0,0,0,34.96617222222223,-11.657061111111112,0
0,0,0,0,0,35.29862222222222,-11.63241388888889,0
0,0,0,0,0,34.95269444444445,-12.95636111111111,0
0,0,0,0,0,34.87164444444444,-12.064761111111112,0
0,0,0,0,0,34.81296111111111,-13.101077777777778,0
0,0,0,0,0,34.92061111111111,-12.06771111111111,0
0,0,0,0,0,34.83006666666667,-12.591633333333334,0
0,0,0,0,0,35.02983055555556,-12.844458333333334,0
0,0,0,0,0,34.77784722222222,-12.59616388888889,0
0,0,0,0,0,35.142180555555555,-12.39775,0
0,0,0,0,0,34.82918333333334,-12.711655555555556,0
0,0,0,0,0,34.92428611111111,-12.52771388888889,0
0,0,0,0,0,34.863375000000005,-12.607355555555555,0
0,0,0,0,0,35.04170555555555,-12.467525,0
0,0,0,0,0,34.913869444444444,-12.570058333333334,0
0,0,0,0,0,34.72013611111111,-12.511327777777778,0
0,0,0,0,0,34.70357777777778,-12.446525,0
0,0,0,0,0,34.82002777777778,-12.725805555555556,0
0,0,0,0,0,34.761944444444445,-12.931277777777778,0
0,0,0,0,0,35.021747222222224,-13.009977777777776,0
0,0,0,0,0,34.770916666666665,-12.91463888888889,0
0,0,0,0,0,34.778166666666664,-12.861083333333331,0
1,2,0,0,0,34.76591666666667,-12.9505,1
1,2,0,0,0,34.779805555555555,-12.843861111111112,1
1,2,0,0,0,34.81315277777777,-13.09317777777778,1
1,2,0,0,0,34.788380555555555,-12.828425,1
0,0,0,0,0,35.08038888888889,-12.938305555555557,0
0,0,0,0,0,34.93725,-12.999138888888888,0
0,0,0,0,0,35.03969444444444,-12.942555555555556,0
